,Field,Value
0,address1,Commerz
1,address2,"3rd Floor International Business Park, Oberoi Garden City Off Western Express Hwy, Goregaon (East)"
2,city,Mumbai
3,zip,400063
4,country,India
5,phone,91 22 6677 3333
6,fax,91 22 6677 3334
7,website,https://www.oberoirealty.com
8,industry,Real Estate - Development
9,industryKey,real-estate-development
10,industryDisp,Real Estate - Development
11,sector,Real Estate
12,sectorKey,real-estate
13,sectorDisp,Real Estate
14,longBusinessSummary,"Oberoi Realty Limited, together with its subsidiaries, engages in real estate development business in India. The company operates through the Real Estate and the Hospitality segment. It develops and sells residential, commercial, retail, hospitality, and social infrastructure projects. The company also leases commercial properties; and owns and operates a hotel. In addition, it engages in the sale of rooms, food and beverages, and allied services related to hotel operations, as well as in the provision of property management services. Oberoi Realty Limited was incorporated in 1998 and is headquartered in Mumbai, India."
15,fullTimeEmployees,1536
16,companyOfficers,"[{'maxAge': 1, 'name': 'Mr. Vikas Ranvir Oberoi', 'age': 56, 'title': 'Chairman & MD', 'yearBorn': 1969, 'fiscalYear': 2026, 'exercisedValue': 0, 'unexercisedValue': 0}, {'maxAge': 1, 'name': 'Mr. Saumil Ashwin Daru', 'age': 55, 'title': 'Director of Finance, CFO & Non-Independent Executive Director', 'yearBorn': 1970, 'fiscalYear': 2026, 'totalPay': 54983000, 'exercisedValue': 0, 'unexercisedValue': 0}]"
17,auditRisk,7
18,boardRisk,8
19,compensationRisk,8
20,shareHolderRightsRisk,7
21,overallRisk,9
22,governanceEpochDate,1782864000
23,compensationAsOfEpochDate,1798675200
24,executiveTeam,[]
25,maxAge,86400
26,priceHint,2
27,previousClose,1884.8
28,open,1878.2
29,dayLow,1838.4
30,dayHigh,1892.0
31,regularMarketPreviousClose,1884.8
32,regularMarketOpen,1878.2
33,regularMarketDayLow,1838.4
34,regularMarketDayHigh,1892.0
35,dividendRate,8.0
36,dividendYield,0.42
37,exDividendDate,1784764800
38,payoutRatio,0.1106
39,fiveYearAvgDividendYield,0.79
40,beta,0.3
41,trailingPE,25.580273
42,forwardPE,17.361073
43,volume,291318
44,regularMarketVolume,291318
45,averageVolume,533285
46,averageVolume10days,618499
47,averageDailyVolume10Day,618499
48,bid,0.0
49,ask,0.0
50,bidSize,0
51,askSize,0
52,marketCap,673209516032
53,nonDilutedMarketCap,685135695179
54,fiftyTwoWeekLow,1391.2
55,fiftyTwoWeekHigh,1986.1
56,allTimeHigh,2343.65
57,allTimeLow,153.15
58,priceToSalesTrailing12Months,10.648004
59,fiftyDayAverage,1735.872
60,twoHundredDayAverage,1644.7275
61,trailingAnnualDividendRate,8.0
62,trailingAnnualDividendYield,0.004244482
63,currency,INR
64,tradeable,False
65,enterpriseValue,680683372544
66,profitMargins,0.41592997
67,floatShares,117047196
68,sharesOutstanding,363602237
69,heldPercentInsiders,0.67705
70,heldPercentInstitutions,0.24199
71,impliedSharesOutstanding,363602237
72,bookValue,492.891
73,priceToBook,3.7564087
74,lastFiscalYearEnd,1774915200
75,nextFiscalYearEnd,1806451200
76,mostRecentQuarter,1782777600
77,earningsQuarterlyGrowth,0.29
78,netIncomeToCommon,26296872960
79,trailingEps,72.38
80,forwardEps,106.64664
81,enterpriseToRevenue,10.766
82,enterpriseToEbitda,19.031
83,52WeekChange,0.06509948
84,SandP52WeekChange,0.18089426
85,lastDividendValue,2.0
86,lastDividendDate,1784764800
87,quoteType,EQUITY
88,currentPrice,1851.5
89,targetHighPrice,2490.0
90,targetLowPrice,1085.0
91,targetMeanPrice,1943.2222
92,targetMedianPrice,1994.0
93,recommendationMean,1.88462
94,recommendationKey,buy
95,numberOfAnalystOpinions,27
96,totalCash,32888037376
97,totalCashPerShare,90.451
98,ebitda,35766493184
99,totalDebt,28253941760
100,totalRevenue,63224012800
101,debtToEquity,15.765
102,revenuePerShare,173.871
103,grossProfits,39585828864
104,earningsGrowth,0.289
105,revenueGrowth,0.317
106,grossMargins,0.62612
107,ebitdaMargins,0.56571
